name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Aachen,19th Century,1880.0,L5,Europe,Belgium,21.0,10-100g,L5,Fell,50.775,6.08333
Aarhus,20th Century,1951.0,H6,Europe,Denmark,720.0,100-1kg,H6,Fell,56.18333,10.23333
Abee,20th Century,1952.0,EH4,North America,Canada,50369.99999999971,>10kg,H4,Fell,54.21667,-113.0
Acapulco,20th Century,1976.0,Acapulcoite,North America,Mexico,1914.0,1-10kg,OTHER,Fell,16.88333,-99.9
Achiras,20th Century,1902.0,L6,South America,Argentina,780.0,100-1kg,L6,Fell,-33.16667,-64.95
Adhi Kot,20th Century,1919.0,EH4,Asia,Pakistan,4239.0,1-10kg,H4,Fell,32.1,71.8
Adzhi-Bogdo (stone),20th Century,1949.0,LL3-6,Asia,Mongolia,910.0,100-1kg,L3,Fell,44.83333,95.16667
Agen,19th Century,1814.0,H5,Europe,France,30000.0,>10kg,H5,Fell,44.21667,0.61667
Aguada,20th Century,1930.0,L6,South America,Argentina,1620.0,1-10kg,L6,Fell,-31.6,-65.23333
Aguila Blanca,20th Century,1920.0,L,South America,Argentina,1440.0,1-10kg,OTHER,Fell,-30.86667,-64.55
Aioun el Atrouss,20th Century,1974.0,Diogenite-pm,Africa,Mauritania,1000.0,100-1kg,ACHONDRITE,Fell,16.39806,-9.57028
Aïr,20th Century,1925.0,L6,Africa,Niger,24000.0,>10kg,L6,Fell,19.08333,8.38333
Aire-sur-la-Lys,Ancient,1769.0,Unknown,Europe,France,32.6,10-100g,OTHER,Fell,50.66667,2.33333
Akaba,20th Century,1949.0,L6,Asia,Jordan,779.0,100-1kg,L6,Fell,29.51667,35.05
Akbarpur,19th Century,1838.0,H4,Asia,India,1800.0,1-10kg,H4,Fell,29.71667,77.95
Akwanga,20th Century,1959.0,H,Africa,Nigeria,3000.0,1-10kg,OTHER,Fell,8.91667,8.43333
Akyumak,20th Century,1981.0,"Iron, IVA",Asia,Turkey,50000.0,>10kg,IRON,Fell,39.91667,42.81667
Al Rais,20th Century,1957.0,CR2-an,Asia,Saudi Arabia,160.0,100-1kg,CARBONACEOUS,Fell,24.41667,39.51667
Al Zarnkh,21st Century,2001.0,LL5,Africa,Sudan,700.0,100-1kg,L5,Fell,13.66033,28.96
Alais,19th Century,1806.0,CI1,Europe,France,6000.0,1-10kg,CARBONACEOUS,Fell,44.11667,4.08333
Albareto,Ancient,1766.0,L/LL4,Europe,Italy,2000.0,1-10kg,L4,Fell,44.65,11.01667
Alberta,20th Century,1949.0,L,Africa,Democratic Republic of the Congo,625.0,100-1kg,OTHER,Fell,2.0,22.66667
Alby sur Chéran,21st Century,2002.0,Eucrite-mmict,Europe,France,252.0,100-1kg,ACHONDRITE,Fell,45.82133,6.01533
Aldsworth,19th Century,1835.0,LL5,Europe,United Kingdom,700.0,100-1kg,L5,Fell,51.78333,-1.78333
Aleppo,19th Century,1873.0,L6,Asia,Syria,3200.0,1-10kg,L6,Fell,36.23333,37.13333
Alessandria,19th Century,1860.0,H5,Europe,Italy,908.0,100-1kg,H5,Fell,44.88333,8.75
Alexandrovsky,20th Century,1900.0,H4,Europe,Ukraine,9251.0,1-10kg,H4,Fell,50.95,31.81667
Alfianello,19th Century,1883.0,L6,Europe,Italy,50369.99999999971,>10kg,L6,Fell,45.26667,10.15
Allegan,19th Century,1899.0,H5,North America,United States of America,32000.0,>10kg,H5,Fell,42.53333,-85.88333
Allende,20th Century,1969.0,CV3,North America,Mexico,50369.99999999971,>10kg,CARBONACEOUS,Fell,26.96667,-105.31667
Almahata Sitta,21st Century,2008.0,Ureilite-an,Africa,Sudan,3950.0,1-10kg,ACHONDRITE,Fell,20.74575,32.41275
Alta'ameem,20th Century,1977.0,LL5,Asia,Iraq,6000.0,1-10kg,L5,Fell,35.27333,44.21556
Ambapur Nagla,19th Century,1895.0,H5,Asia,India,6400.0,1-10kg,H5,Fell,27.66667,78.25
Andhara,19th Century,1880.0,Stone-uncl,Asia,India,2700.0,1-10kg,OTHER,Fell,26.58333,85.56667
Andover,19th Century,1898.0,L6,North America,United States of America,3200.0,1-10kg,L6,Fell,44.61667,-70.75
Andreevka,20th Century,1969.0,L3,Europe,Ukraine,600.0,100-1kg,L3,Fell,48.7,37.5
Andura,20th Century,1939.0,H6,Asia,India,17900.0,>10kg,H6,Fell,20.88333,76.86667
Angers,19th Century,1822.0,L6,Europe,France,32.6,10-100g,L6,Fell,47.46667,-0.55
Angra dos Reis (stone),19th Century,1869.0,Angrite,South America,Brazil,1500.0,1-10kg,OTHER,Fell,-22.96667,-44.31667
Ankober,20th Century,1942.0,H4,Africa,Ethiopia,6500.0,1-10kg,H4,Fell,9.53333,39.71667
Anlong,20th Century,1971.0,H5,Asia,China,2500.0,1-10kg,H5,Fell,25.15,105.18333
Aomori,20th Century,1984.0,L6,Asia,Japan,320.0,100-1kg,L6,Fell,40.81056,140.78556
Appley Bridge,20th Century,1914.0,LL6,Europe,United Kingdom,15000.0,>10kg,L6,Fell,53.58333,-2.71667
Apt,19th Century,1803.0,L6,Europe,France,3200.0,1-10kg,L6,Fell,43.86667,5.38333
Arbol Solo,20th Century,1954.0,H5,South America,Argentina,810.0,100-1kg,H5,Fell,-33.0,-66.0
Archie,20th Century,1932.0,H6,North America,United States of America,5070.0,1-10kg,H6,Fell,38.5,-94.3
Arroyo Aguiar,20th Century,1950.0,H5,South America,Argentina,7450.0,1-10kg,H5,Fell,-31.41667,-60.66667
Asco,19th Century,1805.0,H6,Europe,France,41.0,10-100g,H6,Fell,42.45,9.03333
Ash Creek,21st Century,2009.0,L6,North America,United States of America,9500.0,1-10kg,L6,Fell,31.805,-97.01
Ashdon,20th Century,1923.0,L6,Europe,United Kingdom,1300.0,1-10kg,L6,Fell,52.05,0.3
Assisi,19th Century,1886.0,H5,Europe,Italy,2000.0,1-10kg,H5,Fell,43.03333,12.55
Atarra,20th Century,1920.0,L4,Asia,India,1280.0,1-10kg,L4,Fell,25.25417,80.625
Atemajac,19th Century,1896.0,L6,North America,Mexico,94.2,10-100g,L6,Fell,20.06667,-103.66667
Athens,20th Century,1933.0,LL6,North America,United States of America,265.0,100-1kg,L6,Fell,34.75,-87.0
Atoka,20th Century,1945.0,L6,North America,United States of America,1384.2,1-10kg,L6,Fell,34.31667,-96.15
Aubres,19th Century,1836.0,Aubrite,Europe,France,800.0,100-1kg,ACHONDRITE,Fell,44.38333,5.16667
Aumale,19th Century,1865.0,L6,Africa,Algeria,50000.0,>10kg,L6,Fell,36.16667,3.66667
Aumieres,19th Century,1842.0,L6,Europe,France,2000.0,1-10kg,L6,Fell,44.33333,3.23333
Ausson,19th Century,1858.0,L5,Europe,France,50000.0,>10kg,L5,Fell,43.08333,0.58333
Avanhandava,20th Century,1952.0,H4,South America,Brazil,9330.0,1-10kg,H4,Fell,-21.46028,-49.95083
Avce,20th Century,1908.0,"Iron, IIAB",Europe,Italy,1230.0,1-10kg,IRON,Fell,46.0,13.5
Avilez,19th Century,1855.0,H,North America,Mexico,146.0,100-1kg,OTHER,Fell,25.0,-103.5
Awere,20th Century,1968.0,L4,Africa,Uganda,134.0,100-1kg,L4,Fell,2.71667,32.83333
Aztec,20th Century,1938.0,L6,North America,United States of America,2830.0,1-10kg,L6,Fell,36.8,-108.0
Bachmut,19th Century,1814.0,L6,Europe,Ukraine,18000.0,>10kg,L6,Fell,48.6,38.0
Bahjoi,20th Century,1934.0,"Iron, IAB-sLL",Asia,India,10322.0,>10kg,IRON,Fell,28.48333,78.5
Bald Mountain,20th Century,1929.0,L4,North America,United States of America,3700.0,1-10kg,L4,Fell,35.96667,-82.48333
Baldwyn,20th Century,1922.0,L6,North America,United States of America,345.0,100-1kg,L6,Fell,34.5,-88.66667
Bali,20th Century,1907.0,CV3,Africa,Central African Republic,1000.0,100-1kg,CARBONACEOUS,Fell,5.38333,16.38333
Ban Rong Du,20th Century,1993.0,"Iron, ungrouped",Asia,Thailand,16700.0,>10kg,IRON,Fell,16.66667,101.18333
Bandong,19th Century,1871.0,LL6,Asia,Indonesia,11500.0,>10kg,L6,Fell,-6.91667,107.6
Bansur,19th Century,1892.0,L6,Asia,India,15000.0,>10kg,L6,Fell,27.7,76.33333
Banswal,20th Century,1913.0,L5,Asia,India,14.0,10-100g,L5,Fell,30.4,78.2
Banten,20th Century,1933.0,CM2,Asia,Indonesia,629.0,100-1kg,CARBONACEOUS,Fell,-6.33333,106.0
Barbotan,Ancient,1790.0,H5,Europe,France,6400.0,1-10kg,H5,Fell,43.95,-0.05
Barcelona (stone),Ancient,1704.0,OC,Europe,Spain,32.6,10-100g,OTHER,Fell,41.36667,2.16667
Barea,19th Century,1842.0,Mesosiderite-A1,Europe,Spain,3200.0,1-10kg,OTHER,Fell,42.38333,-2.5
Barnaul,20th Century,1904.0,H5,Europe,Russia,23.2,10-100g,H5,Fell,52.73333,84.08333
Barntrup,19th Century,1886.0,LL4,Europe,Germany,17.0,10-100g,L4,Fell,52.0,9.1
Baroti,20th Century,1910.0,L6,Asia,India,4500.0,1-10kg,L6,Fell,31.61667,76.8
Barwell,20th Century,1965.0,L5,Europe,United Kingdom,44000.0,>10kg,L5,Fell,52.56528,-1.33972
Bassikounou,21st Century,2006.0,H5,Africa,Mauritania,29560.0,>10kg,H5,Fell,15.78333,-5.9
Baszkówka,20th Century,1994.0,L5,Europe,Poland,15500.0,>10kg,L5,Fell,52.03333,20.93583
Bath,19th Century,1892.0,H4,North America,United States of America,21000.0,>10kg,H4,Fell,45.41667,-98.31667
Bath Furnace,20th Century,1902.0,L6,North America,United States of America,50369.99999999971,>10kg,L6,Fell,38.25,-83.75
Battle Mountain,21st Century,2012.0,L6,North America,United States of America,2900.0,1-10kg,L6,Fell,40.66813,-117.18913
Bawku,20th Century,1989.0,LL5,Africa,Burkina Faso,1557.0,1-10kg,L5,Fell,11.08333,-0.18333
Baxter,20th Century,1916.0,L6,North America,United States of America,611.0,100-1kg,L6,Fell,36.75,-93.5
Beardsley,20th Century,1929.0,H5,North America,United States of America,16000.0,>10kg,H5,Fell,39.8,-101.2
Beaver Creek,19th Century,1893.0,H5,North America,Canada,14000.0,>10kg,H5,Fell,51.16667,-117.33333
Beddgelert,20th Century,1949.0,H5,Europe,United Kingdom,794.0,100-1kg,H5,Fell,53.01667,-4.1
Bells,20th Century,1961.0,C2-ung,North America,United States of America,375.0,100-1kg,OTHER,Fell,33.6,-96.46667
Belville,20th Century,1937.0,OC,South America,Argentina,32.6,10-100g,OTHER,Fell,-32.33333,-64.86667
Benares (a),Ancient,1798.0,LL4,Asia,India,3700.0,1-10kg,L4,Fell,25.36667,82.91667
Benguerir,21st Century,2004.0,LL6,Africa,Morocco,25000.0,>10kg,L6,Fell,32.25,-8.15
Beni M'hira,21st Century,2001.0,L6,Africa,Tunisia,19000.0,>10kg,L6,Fell,32.86667,10.8
Benld,20th Century,1938.0,H6,North America,United States of America,1770.5,1-10kg,H6,Fell,39.08333,-89.15
Benoni,20th Century,1943.0,H6,Africa,South Africa,3880.0,1-10kg,H6,Fell,-26.16667,28.41667
Bensour,21st Century,2002.0,LL6,Africa,Morocco,45000.0,>10kg,L6,Fell,30.0,-7.0
Benton,20th Century,1949.0,LL6,North America,Canada,2840.0,1-10kg,L6,Fell,45.95,-67.55
Berduc,21st Century,2008.0,L6,South America,Argentina,270.0,100-1kg,L6,Fell,-31.91,-58.32833
Béréba,20th Century,1924.0,Eucrite-mmict,Africa,Burkina Faso,18000.0,>10kg,ACHONDRITE,Fell,11.65,-3.65
Berlanguillas,19th Century,1811.0,L6,Europe,Spain,1440.0,1-10kg,L6,Fell,41.68333,-3.8
Berthoud,21st Century,2004.0,Eucrite-mmict,North America,United States of America,960.0,100-1kg,ACHONDRITE,Fell,40.30583,-105.02325
Bethlehem,19th Century,1859.0,H,North America,United States of America,13.9,10-100g,OTHER,Fell,42.53333,-73.83333
Beuste,19th Century,1859.0,L5,Europe,France,2000.0,1-10kg,L5,Fell,43.21667,-0.23333
Beyrout,20th Century,1921.0,LL3.8,Asia,Lebanon,1100.0,1-10kg,L3,Fell,33.88333,35.5
Bhagur,19th Century,1877.0,L6,Asia,India,18.0,10-100g,L6,Fell,20.88333,74.83333
Bhawad,21st Century,2002.0,LL6,Asia,India,678.0,100-1kg,L6,Fell,26.50833,73.11528
Bholghati,20th Century,1905.0,Howardite,Asia,India,2500.0,1-10kg,OTHER,Fell,22.08333,86.9
Bialystok,19th Century,1827.0,Eucrite-pmict,Europe,Poland,4000.0,1-10kg,ACHONDRITE,Fell,53.1,23.2
Bielokrynitschie,19th Century,1887.0,H4,Europe,Ukraine,1900.0,1-10kg,H4,Fell,50.13333,27.16667
Bilanga,20th Century,1999.0,Diogenite,Africa,Burkina Faso,25000.0,>10kg,ACHONDRITE,Fell,12.45,-0.08333
Birni N'konni,20th Century,1923.0,H4,Africa,Nigeria,560.0,100-1kg,H4,Fell,13.76667,5.3
Bishopville,19th Century,1843.0,Aubrite,North America,United States of America,6000.0,1-10kg,ACHONDRITE,Fell,34.16667,-80.28333
Bishunpur,19th Century,1895.0,LL3.15,Asia,India,1039.0,1-10kg,L3,Fell,25.38333,82.6
Bjelaja Zerkov,Ancient,1796.0,H6,Europe,Ukraine,1850.0,1-10kg,H6,Fell,49.78333,30.16667
Bjurböle,19th Century,1899.0,L/LL4,Europe,Finland,50369.99999999971,>10kg,L4,Fell,60.4,25.8
Black Moshannan Park,20th Century,1941.0,L5,North America,United States of America,705.0,100-1kg,L5,Fell,40.91667,-78.08333
Blackwell,20th Century,1906.0,L5,North America,United States of America,2381.0,1-10kg,L5,Fell,36.83333,-97.33333
Blanket,20th Century,1909.0,L6,North America,United States of America,5100.0,1-10kg,L6,Fell,31.83333,-98.83333
Blansko,19th Century,1833.0,H6,Europe,Czechia,470.0,100-1kg,H6,Fell,49.36667,16.63333
Bloomington,20th Century,1938.0,LL6,North America,United States of America,67.8,10-100g,L6,Fell,40.48,-89.00417
Bo Xian,20th Century,1977.0,LL3.9,Asia,China,7500.0,1-10kg,L3,Fell,33.83333,115.83333
Bocas,19th Century,1804.0,L6,North America,Mexico,56.0,10-100g,L6,Fell,23.0,-102.0
Bogou,20th Century,1962.0,"Iron, IAB-MG",Africa,Burkina Faso,8800.0,1-10kg,IRON,Fell,12.5,0.7
Boguslavka,20th Century,1916.0,"Iron, IIAB",Europe,Russia,50369.99999999971,>10kg,IRON,Fell,44.55,131.63333
Borgo San Donino,19th Century,1808.0,LL6,Europe,Italy,1676.0,1-10kg,L6,Fell,44.86667,10.05
Bori,19th Century,1894.0,L6,Asia,India,8600.0,1-10kg,L6,Fell,21.95,78.03333
Boriskino,20th Century,1930.0,CM2,Europe,Russia,1342.0,1-10kg,CARBONACEOUS,Fell,54.23333,52.48333
Borkut,19th Century,1852.0,L5,Europe,Ukraine,7000.0,1-10kg,L5,Fell,48.15,24.28333
Borodino,19th Century,1812.0,H5,Europe,Russia,500.0,100-1kg,H5,Fell,55.46667,35.86667
Botschetschki,19th Century,1823.0,L4,Europe,Ukraine,614.0,100-1kg,L4,Fell,51.33333,33.88333
Boumdeid (2003),21st Century,2003.0,L6,Africa,Mauritania,190.0,100-1kg,L6,Fell,17.71067,-11.3715
Boumdeid (2011),21st Century,2011.0,L6,Africa,Mauritania,3599.0,1-10kg,L6,Fell,17.17493,-11.34133
Bovedy,20th Century,1969.0,L3,Europe,United Kingdom,5460.0,1-10kg,L3,Fell,54.56667,-6.33333
Bradford Woods,19th Century,1886.0,L,North America,United States of America,762.0,100-1kg,OTHER,Fell,40.5,-80.08333
Braunau,19th Century,1847.0,"Iron, IIAB",Europe,Poland,39000.0,>10kg,IRON,Fell,50.6,16.3
Breitscheid,20th Century,1956.0,H5,Europe,Germany,1500.0,1-10kg,H5,Fell,50.66694,8.18361
Bremervörde,19th Century,1855.0,H/L3.9,Europe,Germany,7250.0,1-10kg,OTHER,Fell,53.4,9.1
Brient,20th Century,1933.0,Eucrite-pmict,Europe,Russia,219.0,100-1kg,ACHONDRITE,Fell,52.13333,59.31667
Bruderheim,20th Century,1960.0,L6,North America,Canada,50369.99999999971,>10kg,L6,Fell,53.9,-112.88333
Bukhara,21st Century,2001.0,CV3,Asia,Uzbekistan,5300.0,1-10kg,CARBONACEOUS,Fell,39.77978,64.60035
Bunburra Rockhole,21st Century,2007.0,Eucrite,Oceania,Australia,324.0,100-1kg,ACHONDRITE,Fell,-31.35,129.19
Bununu,20th Century,1942.0,Howardite,Africa,Nigeria,357.0,100-1kg,OTHER,Fell,10.01667,9.58333
Bur-Gheluai,20th Century,1919.0,H5,Africa,Somalia,50369.99999999971,>10kg,H5,Fell,5.0,48.0
Burnwell,20th Century,1990.0,H4-an,North America,United States of America,1504.0,1-10kg,H4,Fell,37.62194,-82.23722
Bursa,20th Century,1946.0,L6,Asia,Turkey,25000.0,>10kg,L6,Fell,40.2,29.23333
Buschhof,19th Century,1863.0,L6,Europe,Romania,5000.0,1-10kg,L6,Fell,46.45,25.78333
Bustee,19th Century,1852.0,Aubrite,Asia,India,1500.0,1-10kg,ACHONDRITE,Fell,26.78333,82.83333
Butsura,19th Century,1861.0,H6,Asia,India,29000.0,>10kg,H6,Fell,27.08333,84.08333
Buzzard Coulee,21st Century,2008.0,H4,North America,Canada,41000.0,>10kg,H4,Fell,52.996,-109.84817
Cabezo de Mayo,19th Century,1870.0,L/LL6,Europe,Spain,25000.0,>10kg,L6,Fell,37.98333,-1.16667
Cabin Creek,19th Century,1886.0,"Iron, IIIAB",North America,United States of America,48500.0,>10kg,IRON,Fell,35.5,-93.5
Cacak,20th Century,1919.0,OC,Europe,Republic of Serbia,212.0,100-1kg,OTHER,Fell,43.83889,20.33333
Cali,21st Century,2007.0,H/L4,South America,Colombia,478.0,100-1kg,OTHER,Fell,3.405,-76.51
Campos Sales,20th Century,1991.0,L5,South America,Brazil,23680.0,>10kg,L5,Fell,-7.03333,-40.16667
Çanakkale,20th Century,1964.0,L6,Asia,Turkey,4000.0,1-10kg,L6,Fell,39.8,26.6
Cañellas,19th Century,1861.0,H4,Europe,Spain,945.0,100-1kg,H4,Fell,41.25,1.66667
Cangas de Onis,19th Century,1866.0,H5,Europe,Spain,34000.0,>10kg,H5,Fell,43.38333,-5.15
Canon City,20th Century,1973.0,H6,North America,United States of America,1400.0,1-10kg,H6,Fell,38.47028,-105.24139
Cape Girardeau,19th Century,1846.0,H6,North America,United States of America,2300.0,1-10kg,H6,Fell,37.26667,-89.58333
Capilla del Monte,20th Century,1934.0,H6,South America,Argentina,750.0,100-1kg,H6,Fell,-30.88333,-64.55
Carancas,21st Century,2007.0,H4-5,South America,Bolivia,342.0,100-1kg,H4,Fell,-16.66444,-69.04389
Caratash,20th Century,1902.0,LL6,Asia,Turkey,8.0,1-10g,L6,Fell,38.5,27.0
Castalia,19th Century,1874.0,H5,North America,United States of America,7300.0,1-10kg,H5,Fell,36.08333,-78.06667
Castel Berardenga,Ancient,1791.0,Stone-uncl,Europe,Italy,32.6,10-100g,OTHER,Fell,43.35,11.5
Castine,19th Century,1848.0,L6,North America,United States of America,94.0,10-100g,L6,Fell,44.38333,-68.75
Castrovillari,Ancient,1583.0,Stone-uncl,Europe,Italy,15000.0,>10kg,OTHER,Fell,39.8,16.2
Caswell County,19th Century,1810.0,OC,North America,United States of America,1360.0,1-10kg,OTHER,Fell,36.5,-79.25
Ceniceros,20th Century,1988.0,L3.7,North America,Mexico,1025.0,1-10kg,L3,Fell,26.46667,-105.23333
Centerville,20th Century,1956.0,H5,North America,United States of America,45.6,10-100g,H5,Fell,43.2,-96.91667
Cereseto,19th Century,1840.0,H5,Europe,Italy,6460.0,1-10kg,H5,Fell,45.08333,8.3
Chadong,20th Century,1998.0,L6,Asia,China,3700.0,1-10kg,L6,Fell,28.53333,109.31667
Chail,19th Century,1814.0,H6,Asia,India,0.5,<1g,H6,Fell,25.36667,81.66667
Chainpur,20th Century,1907.0,LL3.4,Asia,India,8200.0,1-10kg,L3,Fell,25.85,83.48333
Chajari,20th Century,1933.0,L5,South America,Argentina,18300.0,>10kg,L5,Fell,-30.78333,-58.05
Chandakapur,19th Century,1838.0,L5,Asia,India,8800.0,1-10kg,L5,Fell,20.26667,76.01667
Chandpur,19th Century,1885.0,L6,Asia,India,1100.0,1-10kg,L6,Fell,27.28333,79.05
Changde,20th Century,1977.0,H5,Asia,China,1810.0,1-10kg,H5,Fell,29.08333,111.75
Chantonnay,19th Century,1812.0,L6,Europe,France,31500.0,>10kg,L6,Fell,46.68333,1.05
Charlotte,19th Century,1835.0,"Iron, IVA",North America,United States of America,4300.0,1-10kg,IRON,Fell,36.16667,-87.33333
Charsonville,19th Century,1810.0,H6,Europe,France,27000.0,>10kg,H6,Fell,47.93333,1.56667
Charwallas,19th Century,1834.0,H6,Asia,India,12000.0,>10kg,H6,Fell,29.48333,75.5
Chassigny,19th Century,1815.0,Martian (chassignite),Europe,France,4000.0,1-10kg,OTHER,Fell,47.71667,5.36667
Château-Renard,19th Century,1841.0,L6,Europe,France,30000.0,>10kg,L6,Fell,47.93333,2.91667
Chaves,20th Century,1925.0,Howardite,Europe,Spain,2945.0,1-10kg,OTHER,Fell,41.93333,-7.46667
Chela,20th Century,1988.0,H4,Africa,United Republic of Tanzania,2936.0,1-10kg,H4,Fell,-3.66667,32.5
Chelyabinsk,21st Century,2013.0,LL5,Europe,Russia,50369.99999999971,>10kg,L5,Fell,54.81667,61.11667
Chergach ,21st Century,2007.0,H5,Africa,Mali,50369.99999999971,>10kg,H5,Fell,23.69639,-5.01472
Chernyi Bor,20th Century,1964.0,H4,Europe,Belarus,6000.0,1-10kg,H4,Fell,53.7,30.1
Cherokee Springs,20th Century,1933.0,LL6,North America,United States of America,8400.0,1-10kg,L6,Fell,35.03333,-81.88333
Chervettaz,20th Century,1901.0,L5,Europe,Switzerland,705.0,100-1kg,L5,Fell,46.55,6.81667
Chervony Kut,20th Century,1939.0,Eucrite-mmict,Europe,Ukraine,1700.0,1-10kg,ACHONDRITE,Fell,50.83333,34.0
Chetrinahatti,19th Century,1880.0,Stone-uncl,Asia,India,72.0,10-100g,OTHER,Fell,14.5,76.5
Chiang Khan,20th Century,1981.0,H6,Asia,Laos,367.0,100-1kg,H6,Fell,17.9,101.63333
Chicora,20th Century,1938.0,LL6,North America,United States of America,303.0,100-1kg,L6,Fell,40.93333,-79.73333
Chisenga,20th Century,1988.0,"Iron, IIIAB",Africa,Malawi,3920.0,1-10kg,IRON,Fell,-10.05944,33.395
Chitado,20th Century,1966.0,L6,Africa,Angola,32.6,10-100g,L6,Fell,-17.35,13.96667
Chitenay,20th Century,1978.0,L6,Europe,France,4000.0,1-10kg,L6,Fell,47.47083,0.97667
Cilimus,20th Century,1979.0,L5,Asia,Indonesia,1600.0,1-10kg,L5,Fell,-6.95,108.1
Claxton,20th Century,1984.0,L6,North America,United States of America,1455.0,1-10kg,L6,Fell,32.1025,-81.87278
Colby (Wisconsin),20th Century,1917.0,L6,North America,United States of America,50369.99999999971,>10kg,L6,Fell,44.9,-90.28333
Cold Bokkeveld,19th Century,1838.0,CM2,Africa,South Africa,5200.0,1-10kg,CARBONACEOUS,Fell,-33.13333,19.38333
Coleman,20th Century,1994.0,L6,North America,United States of America,469.0,100-1kg,L6,Fell,43.76111,-84.50778
Collescipoli,19th Century,1890.0,H5,Europe,Italy,5000.0,1-10kg,H5,Fell,42.53333,12.61667
Conquista,20th Century,1965.0,H4,South America,Brazil,20350.0,>10kg,H4,Fell,-19.85,-47.55
Cosina,19th Century,1844.0,H5,North America,Mexico,1200.0,1-10kg,H5,Fell,21.16667,-100.86667
Cranganore,20th Century,1917.0,L6,Asia,India,1460.0,1-10kg,L6,Fell,10.2,76.26667
Crescent,20th Century,1936.0,CM2,North America,United States of America,78.4,10-100g,CARBONACEOUS,Fell,35.95,-97.58333
Cronstad,19th Century,1877.0,H5,Africa,South Africa,3650.0,1-10kg,H5,Fell,-27.7,27.3
Cross Roads,19th Century,1892.0,H5,North America,United States of America,167.0,100-1kg,H5,Fell,35.63333,-78.13333
Crumlin,20th Century,1902.0,L5,Europe,United Kingdom,4255.0,1-10kg,L5,Fell,54.61667,-6.21667
Cumberland Falls,20th Century,1919.0,Aubrite,North America,United States of America,17000.0,>10kg,ACHONDRITE,Fell,36.83333,-84.35
Cynthiana,19th Century,1877.0,L/LL4,North America,United States of America,6000.0,1-10kg,L4,Fell,38.4,-84.25
Dahmani,20th Century,1981.0,LL6,Africa,Tunisia,18000.0,>10kg,L6,Fell,35.61667,8.83333
Dandapur,19th Century,1878.0,L6,Asia,India,5650.0,1-10kg,L6,Fell,26.91667,83.96667
Daniel's Kuil,19th Century,1868.0,EL6,Africa,South Africa,1064.0,1-10kg,L6,Fell,-28.2,24.56667
Danville,19th Century,1868.0,L6,North America,United States of America,2000.0,1-10kg,L6,Fell,34.4,-87.06667
Darmstadt,19th Century,1804.0,H5,Europe,Germany,100.0,10-100g,H5,Fell,49.86667,8.65
Dashoguz,20th Century,1998.0,H5,Asia,Turkmenistan,7000.0,1-10kg,H5,Fell,41.98444,59.685
Daule,21st Century,2008.0,L5,South America,Ecuador,6580.0,1-10kg,L5,Fell,-1.87089,-79.95756
De Cewsville,19th Century,1887.0,H6,North America,Canada,340.0,100-1kg,H6,Fell,43.0,-80.0
Delhi,19th Century,1897.0,L5,Asia,India,0.8,<1g,L5,Fell,28.56667,77.25
Demina,20th Century,1911.0,L6,Europe,Russia,16400.0,>10kg,L6,Fell,51.46667,84.76667
Denver,20th Century,1967.0,L6,North America,United States of America,230.0,100-1kg,L6,Fell,39.7825,-104.93056
Dergaon,21st Century,2001.0,H5,Asia,India,12500.0,>10kg,H5,Fell,26.68333,93.86667
Desuri,20th Century,1962.0,H6,Asia,India,25400.0,>10kg,H6,Fell,25.73333,73.61667
Devgaon,21st Century,2001.0,H3.8,Asia,India,12000.0,>10kg,H3,Fell,19.0,81.0
Devri-Khera,20th Century,1994.0,L6,Asia,India,1140.0,1-10kg,L6,Fell,24.225,76.525
Dhajala,20th Century,1976.0,H3.8,Asia,India,45000.0,>10kg,H3,Fell,22.37778,71.42722
Dharwar,19th Century,1848.0,OC,Asia,India,1800.0,1-10kg,OTHER,Fell,14.88333,75.6
Dhurmsala,19th Century,1860.0,LL6,Asia,India,32000.0,>10kg,L6,Fell,32.23333,76.46667
Didim,21st Century,2007.0,H3-5,Asia,Turkey,3396.0,1-10kg,H3,Fell,37.35172,27.32997
Diep River,20th Century,1906.0,L6,Africa,South Africa,1000.0,100-1kg,L6,Fell,-33.75,18.56667
Distrito Quebracho,20th Century,1957.0,H4,South America,Argentina,400.0,100-1kg,H4,Fell,-31.88333,-60.46667
Djati-Pengilon,19th Century,1884.0,H6,Asia,Indonesia,50369.99999999971,>10kg,H6,Fell,-7.5,111.5
Djermaia,20th Century,1961.0,H,Africa,Chad,3950.0,1-10kg,OTHER,Fell,12.73333,15.05
Djoumine,20th Century,1999.0,H5-6,Africa,Tunisia,10000.0,1-10kg,H5,Fell,36.95,9.55
Dokachi,20th Century,1903.0,H5,Asia,Bangladesh,3840.0,1-10kg,H5,Fell,23.5,90.33333
Dolgovoli,19th Century,1864.0,L6,Europe,Ukraine,1600.0,1-10kg,L6,Fell,50.75,25.3
Domanitch,20th Century,1907.0,L5,Asia,Turkey,438.0,100-1kg,L5,Fell,40.0,29.0
Dong Ujimqin Qi,20th Century,1995.0,Mesosiderite,Asia,China,50369.99999999971,>10kg,OTHER,Fell,45.5,119.03333
Donga Kohrod,19th Century,1899.0,H6,Asia,India,230.0,100-1kg,H6,Fell,21.86667,82.45
Dongtai,20th Century,1970.0,LL6,Asia,China,5500.0,1-10kg,L6,Fell,32.91667,120.78333
