name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yamato 86716,20th Century,1986.0,CM2,Antarctica,Antarctica,1.61,1-10g,CARBONACEOUS,Found,-71.5,35.66667
Yamato 86717,20th Century,1986.0,L6,Antarctica,Antarctica,14.73,10-100g,L6,Found,-71.5,35.66667
Yamato 86718,20th Century,1986.0,L5,Antarctica,Antarctica,95.55,10-100g,L5,Found,-71.5,35.66667
Yamato 86719,20th Century,1986.0,L4,Antarctica,Antarctica,68.64,10-100g,L4,Found,-71.5,35.66667
Yamato 86720,20th Century,1986.0,C2-ung,Antarctica,Antarctica,858.71,100-1kg,OTHER,Found,-71.5,35.66667
Yamato 86721,20th Century,1986.0,L6,Antarctica,Antarctica,1.74,1-10g,L6,Found,-71.5,35.66667
Yamato 86722,20th Century,1986.0,LL6,Antarctica,Antarctica,79.04,10-100g,L6,Found,-71.5,35.66667
Yamato 86723,20th Century,1986.0,LL6,Antarctica,Antarctica,2.57,1-10g,L6,Found,-71.5,35.66667
Yamato 86724,20th Century,1986.0,L6,Antarctica,Antarctica,1.54,1-10g,L6,Found,-71.5,35.66667
Yamato 86725,20th Century,1986.0,LL6,Antarctica,Antarctica,3.97,1-10g,L6,Found,-71.5,35.66667
Yamato 86726,20th Century,1986.0,L6,Antarctica,Antarctica,8.71,1-10g,L6,Found,-71.5,35.66667
Yamato 86727,20th Century,1986.0,LL6,Antarctica,Antarctica,1.43,1-10g,L6,Found,-71.5,35.66667
Yamato 86728,20th Century,1986.0,LL6,Antarctica,Antarctica,2.56,1-10g,L6,Found,-71.5,35.66667
Yamato 86729,20th Century,1986.0,L6,Antarctica,Antarctica,11.14,10-100g,L6,Found,-71.5,35.66667
Yamato 86730,20th Century,1986.0,LL6,Antarctica,Antarctica,6.54,1-10g,L6,Found,-71.5,35.66667
Yamato 86731,20th Century,1986.0,L6,Antarctica,Antarctica,4.43,1-10g,L6,Found,-71.5,35.66667
Yamato 86732,20th Century,1986.0,L6,Antarctica,Antarctica,4.63,1-10g,L6,Found,-71.5,35.66667
Yamato 86733,20th Century,1986.0,LL6,Antarctica,Antarctica,3.07,1-10g,L6,Found,-71.5,35.66667
Yamato 86734,20th Century,1986.0,L5,Antarctica,Antarctica,4.13,1-10g,L5,Found,-71.5,35.66667
Yamato 86735,20th Century,1986.0,L6,Antarctica,Antarctica,1.82,1-10g,L6,Found,-71.5,35.66667
Yamato 86736,20th Century,1986.0,CM2,Antarctica,Antarctica,3.09,1-10g,CARBONACEOUS,Found,-71.5,35.66667
Yamato 86737,20th Century,1986.0,CI1,Antarctica,Antarctica,2.81,1-10g,CARBONACEOUS,Found,-71.5,35.66667
